Ez 	 x 
0.000000 	 0.000000 
519006320505.970215 	 1.000000 
-320763546448.711121 	 2.000000 
198242774057.259094 	 3.000000 
-122520772391.452011 	 4.000000 
75722001665.807083 	 5.000000 
-46798770725.644928 	 6.000000 
28923230940.162140 	 7.000000 
-17875539785.482788 	 8.000000 
11047691154.679350 	 9.000000 
-6827848630.803434 	 10.000000 
4219842523.875917 	 11.000000 
-2608006106.927518 	 12.000000 
1611836416.948400 	 13.000000 
-996169689.979118 	 14.000000 
615666726.969288 	 15.000000 
-380502963.009818 	 16.000000 
235163763.959493 	 17.000000 
-145339199.050282 	 18.000000 
89824564.909292 	 19.000000 
-55514634.140847 	 20.000000 
34309930.768695 	 21.000000 
-21204703.371720 	 22.000000 
13105227.397703 	 23.000000 
-8099475.972814 	 24.000000 
5005751.426838 	 25.000000 
-3093724.542882 	 26.000000 
1912026.888769 	 27.000000 
-1181697.646772 	 28.000000 
730329.252972 	 29.000000 
-451368.377722 	 30.000000 
278960.898335 	 31.000000 
-172407.446897 	 32.000000 
106553.496253 	 33.000000 
-65853.890060 	 34.000000 
40699.686467 	 35.000000 
-25154.099348 	 36.000000 
15545.719801 	 37.000000 
-9608.214031 	 38.000000 
5937.708134 	 39.000000 
-3670.263403 	 40.000000 
2267.729530 	 41.000000 
-1402.206046 	 42.000000 
865.893333 	 43.000000 
-535.903761 	 44.000000 
330.432764 	 45.000000 
-205.000257 	 46.000000 
125.922556 	 47.000000 
-78.577701 	 48.000000 
47.844855 	 49.000000 
-30.242796 	 50.000000 
18.072798 	 51.000000 
-11.726806 	 52.000000 
6.754944 	 53.000000 
-4.602014 	 54.000000 
2.480758 	 55.000000 
-1.836457 	 56.000000 
0.886795 	 57.000000 
-0.747297 	 58.000000 
0.305013 	 59.000000 
-0.309602 	 60.000000 
0.099656 	 61.000000 
-0.129673 	 62.000000 
0.030568 	 63.000000 
-0.054290 	 64.000000 
0.008768 	 65.000000 
-0.022436 	 66.000000 
0.002410 	 67.000000 
-0.009052 	 68.000000 
0.000700 	 69.000000 
-0.003538 	 70.000000 
0.000255 	 71.000000 
-0.001335 	 72.000000 
0.000122 	 73.000000 
-0.000486 	 74.000000 
0.000068 	 75.000000 
-0.000167 	 76.000000 
0.000044 	 77.000000 
-0.000044 	 78.000000 
0.000044 	 79.000000 
-0.000044 	 80.000000 
0.000044 	 81.000000 
-0.000044 	 82.000000 
0.000044 	 83.000000 
-0.000044 	 84.000000 
0.000044 	 85.000000 
-0.000044 	 86.000000 
0.000044 	 87.000000 
-0.000044 	 88.000000 
0.000044 	 89.000000 
-0.000044 	 90.000000 
0.000044 	 91.000000 
-0.000044 	 92.000000 
0.000044 	 93.000000 
-0.000044 	 94.000000 
0.000044 	 95.000000 
-0.000044 	 96.000000 
0.000044 	 97.000000 
-0.000044 	 98.000000 
0.000044 	 99.000000 
-0.000044 	 100.000000 
0.000044 	 101.000000 
-0.000044 	 102.000000 
0.000044 	 103.000000 
-0.000044 	 104.000000 
0.000044 	 105.000000 
-0.000044 	 106.000000 
0.000044 	 107.000000 
-0.000043 	 108.000000 
0.000044 	 109.000000 
-0.000042 	 110.000000 
0.000047 	 111.000000 
-0.000037 	 112.000000 
0.000056 	 113.000000 
-0.000020 	 114.000000 
0.000087 	 115.000000 
0.000036 	 116.000000 
0.000187 	 117.000000 
0.000207 	 118.000000 
0.000475 	 119.000000 
0.000684 	 120.000000 
0.001246 	 121.000000 
0.001905 	 122.000000 
0.003137 	 123.000000 
0.004770 	 124.000000 
0.007385 	 125.000000 
0.010930 	 126.000000 
0.016121 	 127.000000 
0.023043 	 128.000000 
0.032534 	 129.000000 
0.044771 	 130.000000 
0.060628 	 131.000000 
0.080230 	 132.000000 
0.104289 	 133.000000 
0.132638 	 134.000000 
0.165559 	 135.000000 
0.202321 	 136.000000 
0.242537 	 137.000000 
0.284755 	 138.000000 
0.327871 	 139.000000 
0.369805 	 140.000000 
0.408996 	 141.000000 
0.443148 	 142.000000 
0.470783 	 143.000000 
0.490006 	 144.000000 
0.500044 	 145.000000 
0.499956 	 146.000000 
0.490093 	 147.000000 
0.470696 	 148.000000 
0.443235 	 149.000000 
0.408909 	 150.000000 
0.369892 	 151.000000 
0.327784 	 152.000000 
0.284842 	 153.000000 
0.242450 	 154.000000 
0.202408 	 155.000000 
0.165472 	 156.000000 
0.132726 	 157.000000 
0.104202 	 158.000000 
0.080318 	 159.000000 
0.060541 	 160.000000 
0.044858 	 161.000000 
0.032446 	 162.000000 
0.023130 	 163.000000 
0.016034 	 164.000000 
0.011018 	 165.000000 
0.007298 	 166.000000 
0.004857 	 167.000000 
0.003050 	 168.000000 
0.001992 	 169.000000 
0.001159 	 170.000000 
0.000771 	 171.000000 
0.000388 	 172.000000 
0.000294 	 173.000000 
0.000099 	 174.000000 
0.000123 	 175.000000 
0.000000 	 176.000000 
0.000000 	 177.000000 
0.000000 	 178.000000 
0.000000 	 179.000000 
0.000000 	 180.000000 
0.000000 	 181.000000 
0.000000 	 182.000000 
0.000000 	 183.000000 
0.000000 	 184.000000 
0.000000 	 185.000000 
0.000000 	 186.000000 
0.000000 	 187.000000 
0.000000 	 188.000000 
0.000000 	 189.000000 
0.000000 	 190.000000 
0.000000 	 191.000000 
0.000000 	 192.000000 
0.000000 	 193.000000 
0.000000 	 194.000000 
0.000000 	 195.000000 
0.000000 	 196.000000 
0.000000 	 197.000000 
0.000000 	 198.000000 
0.000000 	 199.000000 
